Ngày Tháng Năm,VIC,VHM,VRE,VN30F1M
7/12/2019,51.56,60.5,35.9,873.6
7/15/2019,50.76,59.7,36.25,879.0
7/16/2019,51.51,61.09,37.0,880.8
7/17/2019,51.33,61.16,37.0,878.0
7/18/2019,51.02,61.16,36.6,870.8
7/19/2019,51.56,61.52,37.4,880.5
7/22/2019,51.78,61.6,36.7,874.8
7/23/2019,53.25,62.47,37.3,886.0
7/24/2019,54.22,62.47,37.35,885.0
7/25/2019,54.76,63.71,37.5,885.0
7/26/2019,54.27,63.71,37.4,886.2
7/29/2019,55.29,63.93,36.75,885.9
7/30/2019,54.45,61.16,35.85,874.5
7/31/2019,54.22,64.22,36.95,885.0
8/1/2019,55.29,65.89,37.0,882.5
8/2/2019,54.45,65.67,36.25,880.5
8/5/2019,52.45,62.03,35.0,874.0
8/6/2019,53.25,60.8,34.85,868.0
8/7/2019,52.45,61.16,34.7,865.0
8/8/2019,54.22,62.26,35.5,869.2
8/9/2019,53.42,61.9,35.5,869.7
8/12/2019,53.33,62.04,35.45,874.7
8/13/2019,52.49,61.09,34.9,872.1
8/14/2019,52.71,61.16,34.7,877.6
8/15/2019,53.78,61.9,35.4,890.4
8/16/2019,54.22,61.53,35.15,879.1
8/19/2019,54.18,62.04,35.3,883.5
8/20/2019,53.78,63.89,35.6,882.3
8/21/2019,54.4,64.33,35.9,887.3
8/22/2019,56.05,64.77,35.75,886.6
8/23/2019,55.56,64.11,35.05,887.8
8/26/2019,55.47,63.3,34.9,885.5
8/27/2019,54.45,63.81,34.5,881.0
8/28/2019,54.22,63.96,34.7,880.9
8/29/2019,54.45,63.96,34.35,884.6
8/30/2019,54.89,64.7,34.45,886.0
9/3/2019,54.67,64.55,34.25,883.1
9/4/2019,54.4,65.58,34.0,887.0
9/5/2019,54.22,65.58,34.1,886.0
9/6/2019,53.82,65.43,34.1,886.9
9/9/2019,54.49,65.14,34.0,886.0
9/10/2019,54.22,64.84,33.7,882.6
9/11/2019,54.0,63.59,33.95,884.7
9/12/2019,54.0,64.03,33.95,887.1
9/13/2019,54.4,64.84,33.95,901.6
9/16/2019,54.58,65.21,34.0,902.2
9/17/2019,54.58,66.54,34.2,908.0
9/18/2019,54.31,66.61,33.95,910.5
9/19/2019,54.0,66.54,34.1,917.1
9/20/2019,53.07,66.02,33.95,914.0
9/23/2019,52.89,65.95,33.7,907.0
9/24/2019,53.38,65.95,33.8,909.9
9/25/2019,53.2,65.95,33.5,911.1
9/26/2019,52.89,65.36,32.75,916.1
9/27/2019,53.25,65.8,33.25,923.0
9/30/2019,53.25,65.8,33.1,922.1
10/1/2019,53.29,65.73,32.7,930.0
10/2/2019,52.45,65.58,32.0,920.8
10/3/2019,52.45,65.8,32.0,926.0
10/4/2019,52.45,65.73,31.9,918.6
10/7/2019,52.0,65.58,31.5,912.2
10/8/2019,52.05,65.29,31.25,916.6
10/9/2019,52.0,65.21,32.0,914.8
10/10/2019,51.96,65.21,32.4,913.0
10/11/2019,52.45,65.14,32.35,915.5
10/14/2019,52.45,64.77,31.7,922.7
10/15/2019,52.62,63.66,31.85,924.2
10/16/2019,52.45,63.66,31.85,923.6
10/17/2019,52.0,63.74,31.85,918.8
10/18/2019,52.0,64.11,31.9,921.4
10/21/2019,51.96,63.74,31.9,918.1
10/22/2019,51.91,63.37,31.9,919.2
10/23/2019,52.05,63.3,32.25,919.5
10/24/2019,52.09,63.44,32.7,925.8
10/25/2019,52.09,63.37,32.55,925.9
10/28/2019,52.31,63.37,32.45,926.5
10/29/2019,52.36,64.55,32.6,926.0
10/30/2019,53.16,65.43,33.25,928.4
10/31/2019,52.89,65.58,33.2,926.5
11/1/2019,54.45,70.15,35.05,933.5
11/4/2019,54.09,70.74,34.9,937.0
11/5/2019,54.0,72.14,35.6,938.0
11/6/2019,54.18,73.24,35.15,937.9
11/7/2019,53.69,73.32,35.2,941.8
11/8/2019,53.56,72.58,34.65,942.5
11/11/2019,52.85,72.73,34.7,939.2
11/12/2019,53.07,72.07,34.7,942.9
11/13/2019,52.89,71.55,34.7,937.2
11/14/2019,53.02,71.03,35.0,934.7
11/15/2019,53.16,70.96,35.2,933.8
11/18/2019,52.49,70.96,35.2,929.0
11/19/2019,52.05,71.11,35.3,929.7
11/20/2019,51.56,70.89,35.15,921.0
11/21/2019,51.25,70.22,35.0,899.0
11/22/2019,51.65,68.9,34.8,901.5
11/25/2019,51.56,68.68,33.8,902.9
11/26/2019,51.2,68.75,34.1,905.5
11/27/2019,51.38,68.53,33.95,899.5
11/28/2019,51.42,67.5,33.5,892.3
11/29/2019,51.42,67.72,34.45,891.1
12/2/2019,51.11,67.72,34.0,878.0
12/3/2019,51.11,67.64,34.0,875.1
12/4/2019,51.33,67.64,34.1,887.8
12/5/2019,51.47,67.79,34.5,885.0
12/6/2019,51.51,67.79,34.6,884.7
12/9/2019,51.51,67.79,35.2,879.2
12/10/2019,51.51,67.42,34.9,877.0
12/11/2019,51.51,67.13,35.0,884.0
12/12/2019,51.56,67.2,34.75,885.0
12/13/2019,51.56,65.65,33.55,881.5
12/16/2019,51.47,63.44,33.9,877.4
12/17/2019,51.47,63.0,32.9,868.0
12/18/2019,51.47,61.82,31.95,861.5
12/19/2019,51.47,61.82,32.4,861.2
12/20/2019,51.47,62.04,32.95,869.4
12/23/2019,51.42,61.75,32.9,868.1
12/24/2019,51.33,61.68,32.9,871.5
12/25/2019,51.33,61.68,32.8,873.8
12/26/2019,51.29,62.04,33.3,871.1
12/27/2019,51.2,62.26,33.4,879.3
12/30/2019,51.11,63.0,34.5,878.3
12/31/2019,51.11,62.49,34.0,876.3
1/2/2020,51.11,62.56,34.35,886.3
1/3/2020,51.25,62.78,34.6,879.5
1/6/2020,50.89,61.45,33.65,872.0
1/7/2020,50.98,61.75,33.95,875.0
1/8/2020,50.8,60.79,32.7,863.7
1/9/2020,50.98,61.38,34.0,874.8
1/10/2020,51.02,62.26,33.95,878.7
1/13/2020,51.07,63.59,33.75,879.5
1/14/2020,51.11,63.59,33.75,882.3
1/15/2020,51.11,63.59,33.2,883.8
1/16/2020,51.11,63.44,32.8,892.1
1/17/2020,51.07,63.37,32.6,893.5
1/20/2020,51.07,63.37,32.0,896.9
1/21/2020,51.07,64.48,32.6,902.2
1/22/2020,51.07,65.88,32.6,909.0
1/30/2020,51.07,64.4,30.95,873.0
1/31/2020,51.02,64.48,30.05,852.0
2/3/2020,51.02,62.78,30.2,841.0
2/4/2020,51.02,63.15,29.25,842.2
2/5/2020,50.89,63.37,28.95,841.8
2/6/2020,50.85,63.96,30.95,860.5
2/7/2020,50.85,64.11,32.0,857.0
2/10/2020,50.53,63.52,31.1,846.1
2/11/2020,50.4,63.52,31.4,850.3
2/12/2020,49.78,63.74,31.25,856.6
2/13/2020,49.96,63.37,31.45,855.1
2/14/2020,48.89,64.55,31.75,861.8
2/17/2020,48.0,63.89,31.4,863.8
2/18/2020,46.45,63.37,30.55,856.0
2/19/2020,46.67,63.37,30.15,865.8
2/20/2020,48.89,64.03,30.9,871.7
