as_of_date,scenario_name,scenario_rank,shock_type,shock_magnitude,dd_total,dd_exogenous,dd_endogenous,panic_ratio,margin_calls,margin_call_events,min_price_mean,end_price_mean,dd_total_p10,dd_total_p90,panic_ratio_p10,panic_ratio_p90,simulation_runs,simulation_agents,steps_post_shock,stress_confidence
2026-06-23,price_drop_7pct,3,PRICE_DROP,0.07,0.0775029542832554,0.069111429859425,0.0083915244238303,0.1073751500262995,313,313,1724.183878326424,1745.9040803027408,0.0750068650515468,0.0814198194625034,0.0746868756559293,0.1411908926346429,12,1000,20,0.4043754429128436
2026-06-25,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,0.004774737017362,0.0023547472597134,0.0024199897576485,0.2973150853225061,0,0,1852.820824347407,1868.4895805319577,0.0,0.0110755137144358,0.0,0.986887320833198,12,1000,20,0.4009247283902182
2026-06-25,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0062004342515443,0.0019548263918149,0.0042456078597293,0.4300727785496442,0,0,1850.166589549557,1863.1321755255312,0.0009499646610239,0.0129670798692395,0.0,0.8943166940854973,12,1000,20,0.4009247283902182
2026-06-25,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0028415496516026,0.0006869160245268,0.0021546336270757,0.2547715871090795,0,0,1856.4198585981144,1879.0941194109805,0.0,0.0085478979720109,0.0,0.804248551963805,12,1000,20,0.4009247283902182
2026-06-25,liquidity_withdrawal_50pct,5,LIQUIDITY_WITHDRAWAL,0.5,0.0043726644151051,0.00277691225663,0.0015957521584751,0.2643113773943891,0,0,1853.5693669317543,1875.2883408671069,0.0001114798501981,0.0077175885185304,0.0,0.7365269442633966,12,1000,20,0.4009247283902182
2026-06-25,price_drop_3pct,1,PRICE_DROP,0.03,0.0328413222837755,0.0293887575543802,0.0034525647293953,0.0986795630626398,0,0,1800.5689818910723,1821.4660662105864,0.0300342800480415,0.0383860887251187,0.0,0.1943423229971208,12,1000,20,0.4009247283902182
2026-06-25,price_drop_5pct,2,PRICE_DROP,0.05,0.0583549666990457,0.0495360348096872,0.0088189318893584,0.1465215900841007,250,250,1753.0699749467196,1778.6797163770582,0.054189070701028,0.0640181627293753,0.0742750412942746,0.2257358924569166,12,1000,20,0.4009247283902182
2026-06-25,price_drop_7pct,3,PRICE_DROP,0.07,0.0796353127015097,0.0685168370827606,0.011118475618749,0.1375410560494615,300,300,1713.4521419904725,1736.930635038415,0.0746748490341078,0.0858473029821646,0.0952818186040263,0.1963849719543332,12,1000,20,0.4009247283902182
2026-06-26,cost_of_capital_100bp,7,COST_OF_CAPITAL,0.01,4.602252063787981e-05,0.0,4.602252063787981e-05,0.1666666666666666,0,0,1871.8238499833928,1989.3638813164048,0.0,0.0001848429580912,0.0,0.9000000000000004,12,1000,20,0.409292972245624
2026-06-26,foreign_outflow_1z,6,FOREIGN_OUTFLOW,1.0,0.0,0.0,0.0,0.0,0,0,1871.91,1990.592290255222,0.0,0.0,0.0,0.0,12,1000,20,0.409292972245624
2026-06-26,liquidity_withdrawal_25pct,4,LIQUIDITY_WITHDRAWAL,0.25,0.0,0.0,0.0,0.0,0,0,1871.91,2055.761060240668,0.0,0.0,0.0,0.0,12,1000,20,0.409292972245624
