report_date,sector,maturity_bucket,yield_avg_pct,yield_median_pct,issuance_count,source,scrape_run_id,scraped_at
2026-05-08,non_bank_corp,<=3Y,9.625,9.0,3,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/28042026-08052026%20%20BAO%20CAO%20TUAN%20TTTP8.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-08,real_estate,3Y_5Y,9.93877551020408,10.25,2,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/28042026-08052026%20%20BAO%20CAO%20TUAN%20TTTP8.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-08,real_estate,<=3Y,11.088110640196296,11.0,7,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/28042026-08052026%20%20BAO%20CAO%20TUAN%20TTTP8.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-15,bank,<=3Y,8.333333333333334,8.4,3,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/11052026-15052026%20%20BAO%20CAO%20TUAN%20TTTP1.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-15,non_bank_corp,<=3Y,10.0,10.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/11052026-15052026%20%20BAO%20CAO%20TUAN%20TTTP1.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-15,real_estate,<=3Y,12.443396226415096,12.5,3,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/11052026-15052026%20%20BAO%20CAO%20TUAN%20TTTP1.pdf,vbma_weekly_local-20260528T125059Z,2026-05-28T12:50:59Z
2026-05-22,bank,<=3Y,8.4625,8.425,6,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/18052026-22052026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260601T055251Z,2026-06-01T05:52:51Z
2026-05-22,bank,>5Y,8.3,8.3,3,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/18052026-22052026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260601T055251Z,2026-06-01T05:52:51Z
2026-05-22,non_bank_corp,<=3Y,10.0,10.0,1,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/18052026-22052026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260601T055251Z,2026-06-01T05:52:51Z
2026-05-22,real_estate,<=3Y,12.465250965250965,12.5,4,vbma_weekly:https://vbma.org.vn/storage/reports/May2026/18052026-22052026  BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260601T055251Z,2026-06-01T05:52:51Z
2026-05-29,bank,<=3Y,8.435897435897436,8.425,12,vbma_weekly:https://vbma.org.vn/storage/reports/June2026/25052026-29052026 BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260708T043116Z,2026-07-08T04:31:16Z
2026-05-29,bank,>5Y,8.3,8.3,4,vbma_weekly:https://vbma.org.vn/storage/reports/June2026/25052026-29052026 BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260708T043116Z,2026-07-08T04:31:16Z
2026-05-29,non_bank_corp,3Y_5Y,10.7,10.7,1,vbma_weekly:https://vbma.org.vn/storage/reports/June2026/25052026-29052026 BAO CAO TUAN TTTP.pdf,vbma_weekly_local-20260708T043116Z,2026-07-08T04:31:16Z
